;apk;paragraph;actual_contains_controller;contains_controller;token_list;spacy_results;spacy_results_bool;spacy_expected
31;air.com.aceviral.mutantfightingcup2;© Copyright 2008-2022. Aceviral.com all rights reserved;True;True;['©', 'all rights reserved'];['Aceviral.com'];True;True
33;air.conectagames.handandfoot;Welcome to ConectaGames ( Web2mil S.A. ), we are a company offering Internet services, specifically games and applications for social networking sites and mobile devices (“applications”, or “application”). Your privacy is very important to us and we have designed our services with the protection of your information in mind. In this document we refer to Web2mil S.A. as: (“Web2mil S.A.”, “we”, “us” or “our”).;True;True;['“we”', '“our”', '“us”'];['ConectaGames', 'Web2mil S.A.', 'Web2mil S.A.', 'Web2mil S.A.'];True;True
34;air.conectagames.handandfoot;This document (“Privacy Policy”) explains how our company handles your personal information. We advise you to read it and contact us in case you require any further information.;False;True;['“privacy policy”'];[];False;False
79;air.conectagames.handandfoot;"info@conectagames.com
Montevideo-Uruguay
Copyright © 2012 ConectaGames.";True;True;['©'];['ConectaGames'];True;True
105;com.Nelnet.nelnetmmaapp;© 2011-2020 Nelnet, Inc. and Affiliates. All Rights Reserved (Nelnet Servicing, LLC NMLS ID# 1508613, NMLS Consumer Access);True;True;['©', 'all rights reserved'];['Nelnet, Inc.', 'Affiliates', 'Nelnet Servicing, LLC', 'NMLS Consumer Access'];True;True
107;com.aam.mobile;At AAM, LLC (referred to as “Company,” “us” or “we”), we recognize that your privacy is important. This Policy discloses the privacy practices for the Company’s websites. This Policy also covers how personal and other information that we receive or collect about you is treated. Please read the information below to learn the following regarding your use of the Technology.;True;True;['“we”', '“us”'];['AAM, LLC'];True;True
139;com.aam.mobile;2022 AAM, LLC All Rights Reserved;True;True;['all rights reserved'];['2022 AAM', 'LLC'];True;False
151;com.abc.abcnews;"CONTACT US
© Disney. All rights reserved
Interest-Based Ads
Children’s Online Privacy Policy
Your California Privacy Rights
Terms of Use
Privacy Policy
Do Not Sell My Personal Information
 Print Page";True;True;['©', 'all rights reserved'];['Disney'];True;True
306;com.ancestry.android.apps.ancestry;"Support CenterAncestry BlogSite MapGift MembershipsCareers
Visit our other sites:
United States
United Kingdom
Canada (English)
Canada (Français)
Australia
Deutschland
Italia
France
Sverige
México
Ancestry Corporate
Ancestry.ie Corporate
Fold3.com
Forces-War-Records.co.uk
Geneanet.org
Newspapers.com
ProGenealogists.com
RootsWeb.com
Select language:
English (EN)
Español (ES)
© 1997-2022 AncestryCorporate InformationPrivacyTerms and ConditionsCCPA Notice at CollectionPatent";True;True;['©'];[];False;False
308;com.andromo.dev530702.app862295;built the App as a Free app. This SERVICE is provided by at no cost and is intended for use as is.;True;True;['at no cost and is intended for use'];[];False;False
343;com.andromo.dev859449.app978021;Psycnet Apps built the Borderline Explained, Narcissism Explained, Histrionic Explained, Personality Disorder Test, The Narcissism Test, and The Psychology Blog apps as free apps. This service is provided by Psycnet Apps at no cost and is intended for use as is.  This page is used to inform visitors regarding our policies regarding the collection, use, and disclosure of personal Information.  If you choose to use our service, then you agree to the collection and use of information in relation to this policy. The personal information that we collect is used for providing and improving the service. We will not use or share your information with anyone. ;True;True;['at no cost and is intended for use'];['Psycnet Apps', 'Psycnet Apps'];True;True
357;com.andromo.dev859449.app978021;Psycnet Apps, 2021, All rights reserved;True;True;['all rights reserved'];['Psycnet Apps'];True;True
362;com.appsidea.learn.aftereffects;At Apps Idea we recognize that privacy is significant. This Privacy Policy (“Policy”) applies to your use All Application on all platforms.;True;True;['(“policy”)'];['Apps Idea'];True;True
407;com.arbys.android.arbysapp;"EXPLORE OUR MENU
MENU
NUTRITION
INGREDIENTS & ALLERGENS
GLUTEN FREE MENU
ALLIANCE KITCHEN ALLERGEN INFORMATION
GET TO KNOW US
ABOUT US
FRANCHISING
FOUNDATION
OUR COMMITMENT TO SAFETY
STAY IN TOUCH
PRESS
CAREERS
CONTACT US
ARBY’S SWAG SHOP
LET'S CONNECT
PRIVACY POLICY
TERMS OF USE
ACCESSIBILITY
ABOUT OUR ADS
DO NOT SELL MY INFO
SITEMAP
CALIFORNIA TRANSPARENCY IN SUPPLY CHAIN ACT
TM & © 2022 Arby's IP Holder, LLC. All Rights Reserved. v.0.1687.7
This site uses cookies to improve our site and provide content and ads that might interest you. By using this site, you consent to our use of cookies as described in our COOKIE POLICY. For more about how we use your information, read our PRIVACY POLICY.
CLOSE";True;True;['©', 'all rights reserved'];"[""Arby's IP Holder, LLC""]";True;True
410;com.artelplus.howtodraw;Artfonica collects, stores and uses your personal information as a data controller in connection with and in order to provide and develop its mobile applications and other services (hereinafter collectively referred to as ‘Services’) according to this privacy policy (‘Privacy Policy’).;True;True;['(hereinafter'];['Artfonica'];True;True
455;com.atistudios.italk.es;"Mondly is an online language learning platform developed by ATI Studios SRL, an EU based company.( collectively referred to as ""Mondly"", ""we"", ""us"" or ""our"" in this Privacy Policy)";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['Mondly', 'ATI Studios SRL', 'Mondly'];True;True
571;com.att.callprotect;© 2022 AT&T Intellectual Property. All rights reserved.;True;True;['©', 'all rights reserved'];['AT&T Intellectual Property'];True;True
641;com.cookingschool.cookinggames.kitchencraze.cookingcraze.cookingfever;© 2015 ModulesDen. All Rights Reserved.;True;True;['©', 'all rights reserved'];['ModulesDen'];True;True
645;com.creative.Learn.to.draw.animal;Creative.APP team has adopted this privacy policy (“Privacy Policy”) to explain how Creative.APP collects, stores, and uses the information collected in connection with Creative.APP’s Services.;True;True;['“privacy policy”'];['Creative.APP', 'Creative.', 'Creative.APP’s'];True;True
678;com.creative.Learn.to.draw.animal;© 2018 Creative.APP. All Rights Reserved.;True;True;['©', 'all rights reserved'];['Creative.', 'APP'];True;True
703;com.ddi;"The games and other activities offered on the Website and Apps are referred to in this Privacy Policy as the ""Services"".";False;True;"['""services""']";[];False;False
704;com.ddi;"Please read this Policy carefully before accessing the Website, the Apps or using our Services as it provides important information about how we collect, store, use and disclose your personal and other information when providing our Services to you or when you access the Website or Apps. You should also review the terms of use for important information about your use of the Website or Apps and our Services. DoubleDown Website and Apps are managed and operated by DoubleDown Interactive, LLC (""DoubleDown"" or ""our"" or ""we"" or ""us""). Visitors to the DoubleDown Website or Apps and users of the Services are referred to as ""you.""";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['DoubleDown Website', 'DoubleDown Interactive, LLC', 'DoubleDown', 'DoubleDown'];True;True
856;com.doft.android.carrier;© 2021 Doft. All Rights Reserved.;True;True;['©', 'all rights reserved'];['Doft'];True;True
892;com.drivemode.android;This privacy policy (this “Policy”) describes the collection of personal information by Drivemode, Inc., a Delaware corporation (“Company”, “we”, or “us”) from users of our Website at www.drivemode.com (the “Website”), as well as all related applications, widgets, software, tools, and other services provided by us and on which a link to this Policy is displayed (collectively, together with the Website, our “Services”). This Policy also describes our use and disclosure of such information. By using our Services, you consent to the collection, use, and disclosure of personal information in accordance with this Policy. This Policy is incorporated by reference into the Drivemode License Agreement (the “Agreement”) and subject to the provisions of the Agreement.;True;True;['“we”', '“us”', '“company”', '“services”'];['Drivemode, Inc.'];True;True
963;com.drivemode.android;© 2022 Drivemode Inc.;True;True;['©'];['Drivemode Inc.'];True;True
967;com.epocrates;"At epocrates, we are committed to respecting your privacy. This privacy policy describes how Epocrates, LLC and its subsidiaries, parent company and affiliated companies, including athenahealth, Inc. (""epocrates,"" ""we"", ""our"", or “us”) may collect, use, share and disclose information about users who use our website epocrates.com, epocrates Online and/or our epocrates mobile application(s), displaying this policy as well as any communication mechanisms (e.g., emails or newsletters) from us in connection with our services and that display this privacy policy (""Services""). This policy does not cover websites, applications or services displaying different privacy statements.";True;True;"['“us”', '""we""', '""our""', '""our""', '""we""', '""services""']";['epocrates', 'Epocrates, LLC', 'athenahealth, Inc.', 'epocrates', 'epocrates Online', 'epocrates'];True;True
1124;com.freeplay.runandfight;SuperSonic Studios Ltd. (“SuperSonic Studios”) develops and publishes game titles for mobile devices (each game title, “Title”).;True;True;['“title”'];['SuperSonic Studios Ltd.', 'SuperSonic Studios'];True;True
1209;com.g3niu7.AppGee;"You means the individual accessing or using the Service, or the company, or other legal entity on behalf of which such individual is accessing or using the Service, as applicable.Under GDPR (General Data Protection Regulation), You can be referred to as the Data Subject or as the User as you are the individual using the Service.
Company (referred to as either “the Company”, “We”, “Us” or “Our” in this Agreement) refers to G3NIU7 Inc, 11766 Wilshire Blvd Suite 900 Los Angeles, CA 90025, USA.For the purpose of the GDPR, the Company is the Data Controller.
Application means the software program provided by the Company downloaded by You on any electronic device, named Hello Genius
Affiliate means an entity that controls, is controlled by or is under common control with a party, where “control” means ownership of 50% or more of the shares, equity interest or other securities entitled to vote for election of directors or other managing authority.
Account means a unique account created for You to access our Service or parts of our Service.
Service refers to the Application.
Country refers to: California, United States
Service Provider means any natural or legal person who processes the data on behalf of the Company. It refers to third-party companies or individuals employed by the Company to facilitate the Service, to provide the Service on behalf of the Company, to perform services related to the Service or to assist the Company in analyzing how the Service is used.For the purpose of the GDPR, Service Providers are considered Data Processors.
Third-party Social Media Service refers to any website or any social network website through which a User can log in or create an account to use the Service.
Facebook Fan Page is a public profile named HelloGeniusOfficial specifically created by the Company on the Facebook social network, accessible from https://www.facebook.com/hellogeniusofficial/
Personal Data is any information that relates to an identified or identifiable individual.For the purposes for GDPR, Personal Data means any information relating to You such as a name, an identification number, location data, online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity.";True;True;['“we”', '“our”', '“us”', 'is the data controller'];['G3NIU7 Inc', 'Facebook'];True;True
1278;com.g3niu7.AppGee;The Company is the Data Controller of Your Personal Data collected while using the Service. As operator of the Facebook Fan Page (https://www.facebook.com/hellogeniusofficial/), the Company and the operator of the social network Facebook are Joint Controllers.;True;True;['is the data controller'];['Facebook', 'Facebook'];True;True
1340;com.g3niu7.AppGee;"By email: support@hellogenius.com
By visiting this page on our website: https://www.hellogenius.com/contactus
Sign up to receive our newsletter
Quick links
Demo Video
child app
parent app
How it Works
Features & Benefits
Platforms & Devices
Challenges
Pricing
Press
Subscribe
Join the Development Community
Blog
FAQ
Privacy Policies
Terms and conditions
Disclaimer
Sitemap
Follow us
Facebook-f
Instagram
Youtube
Linkedin
Write to us
Fill out our contact form below and we will be in touch!
Comment or Message *
Name *
Phone
Email *
Submit
© Copyright 2020 – G3NiU7 Inc, All Rights Reserved";True;True;['©', 'all rights reserved'];[];False;True
1346;com.game.colorroll3d;The purpose of this privacy notice is to provide you with information regarding the processing of personal data of the users that use our games/applications (“Services”).;False;True;['“services”'];[];False;False
1421;com.game.colorroll3d;© 2019 Company, Inc. · Terms of Services · Privacy Policy · Use Explicit Consent;False;True;['©'];['Company, Inc.'];True;True
1424;com.gamescasual007.mergegun;"This Privacy Policy explains how your personal data is collected and processed by SayGames LLC (""SayGames"") when you use the our mobile applications (the ""App"").";True;True;"['""app""']";['SayGames LLC', 'SayGames'];True;True
1527;com.goodreads;Goodreads LLC (together with its affiliates, “Goodreads,” “we,” or “us”) knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly.;True;True;['“us”'];['Goodreads LLC'];True;True
1528;com.goodreads;Goodreads LLC is a subsidiary of Amazon.com, Inc. (“Amazon”). The information we collect is subject to the Amazon Privacy Notice, except as otherwise stated in this notice. By visiting or using Goodreads.com and related services (the “Service”), you are accepting the practices described in the Amazon Privacy Notice as supplemented by this notice (the “Privacy Notice”). Please note that, if you have an account on www.amazon.com, information gathered by Goodreads may be correlated with any personal information that Amazon.com has and used by Goodreads and Amazon to improve the services we offer;False;True;['“service”'];['Goodreads LLC', 'Amazon.com, Inc.', 'Amazon', 'Goodreads', 'Amazon.com', 'Goodreads', 'Amazon'];True;True
1553;com.goodreads;"GUIDELINES AND TERMS
Terms of Use
Privacy Policy
Cookies Notice
California Consumer Privacy Act Disclosures
Community Guidelines
Review Guidelines
Author Guidelines
Q&A Guidelines
Group Moderator Guidelines
Book Records Guidelines
Giveaway Terms
COMPANY
About us
Careers
Terms
Privacy
Interest Based Ads
Ad Preferences
Help
WORK WITH US
Authors
Advertise
Authors & ads blog
API
CONNECT
 
 
© 2022 Goodreads, Inc.";True;True;['©'];['Goodreads, Inc.'];True;True
1641;com.gps.route.finder.mobile.location.tracker.maps.navigation;"GPS Master Team and its affiliates (""Company"" or ""we,"" ""us,"" or ""our"") absolutely respects and ensures the privacy of your information on the internet and your own personal privacy. To better help you understand how we collect, use, and protect the information you give to us, please read the following Privacy Policy.";True;True;"['""our""', '""our""']";['GPS Master Team'];True;True
